INFO:root:episode:11  step:4 Cost:36.50662932311802 min Cost:36.48707333137705 Reward:0 global reward:300 Action:[2, 3]
INFO:root:episode:11  step:5 Cost:49.00662932311802 min Cost:48.98707333137705 Reward:0 global reward:300 Action:[2, 0]
INFO:root:episode:11  step:6 Cost:36.50662932311802 min Cost:41.83270928609989 Reward:400 global reward:400 Action:[2, 1]
INFO:root:episode:12  step:1 Cost:18.99070219524205 min Cost:16.805264450024687 Reward:0 global reward:400 Action:[1, 4]
INFO:root:episode:12  step:2 Cost:29.846181651397252 min Cost:28.17629619239468 Reward:0 global reward:400 Action:[3, 2]
INFO:root:episode:12  step:3 Cost:37.27695899260137 min Cost:36.69382131940202 Reward:0 global reward:400 Action:[2, 3]
INFO:root:episode:12  step:4 Cost:36.54047655891114 min Cost:36.48707333137705 Reward:0 global reward:400 Action:[0, 5]
INFO:root:episode:12  step:5 Cost:49.04047655891114 min Cost:48.98707333137705 Reward:0 global reward:400 Action:[2, 1]
INFO:root:episode:12  step:6 Cost:36.54047655891114 min Cost:36.50662932311802 Reward:-0.338472357931181 global reward:400 Action:[2, 0]
INFO:root:episode:13  step:1 Cost:18.99070219524205 min Cost:16.805264450024687 Reward:0 global reward:400 Action:[1, 4]
INFO:root:episode:13  step:2 Cost:29.655973297144023 min Cost:28.17629619239468 Reward:0 global reward:400 Action:[3, 2]
INFO:root:episode:13  step:3 Cost:37.14444912535808 min Cost:36.69382131940202 Reward:0 global reward:400 Action:[2, 3]
INFO:root:episode:13  step:4 Cost:37.14444912535808 min Cost:36.48707333137705 Reward:0 global reward:400 Action:[3, 5]
INFO:root:episode:13  step:5 Cost:49.64444912535807 min Cost:48.98707333137705 Reward:0 global reward:400 Action:[2, 0]
INFO:root:episode:13  step:6 Cost:37.14444912535808 min Cost:36.50662932311802 Reward:-6.378198022400596 global reward:400 Action:[2, 1]
INFO:root:episode:14  step:1 Cost:18.911055653283032 min Cost:16.805264450024687 Reward:0 global reward:400 Action:[1, 4]
INFO:root:episode:14  step:2 Cost:29.613828107653738 min Cost:28.17629619239468 Reward:0 global reward:400 Action:[3, 2]
INFO:root:episode:14  step:3 Cost:37.13392221039117 min Cost:36.69382131940202 Reward:0 global reward:400 Action:[2, 3]
INFO:root:episode:14  step:4 Cost:37.13392221039117 min Cost:36.48707333137705 Reward:0 global reward:400 Action:[3, 0]
INFO:root:episode:14  step:5 Cost:37.13392221039117 min Cost:48.98707333137705 Reward:0 global reward:400 Action:[1, 5]
INFO:root:episode:14  step:6 Cost:49.660642416014916 min Cost:36.50662932311802 Reward:-131.54013092896895 global reward:400 Action:[2, 1]
INFO:root:episode:15  step:1 Cost:17.82806706250047 min Cost:16.805264450024687 Reward:0 global reward:400 Action:[3, 4]
INFO:root:episode:15  step:2 Cost:17.82806706250047 min Cost:28.17629619239468 Reward:0 global reward:400 Action:[3, 2]
INFO:root:episode:15  step:3 Cost:29.57027000824852 min Cost:36.69382131940202 Reward:0 global reward:400 Action:[2, 3]
INFO:root:episode:15  step:4 Cost:41.27703140531427 min Cost:36.48707333137705 Reward:0 global reward:400 Action:[0, 5]
