INFO:root:episode:35  step:4 Cost:110.3852598505282 min Cost:51.61812010795834 Reward:0 global reward:400 Action:[3, 0]
INFO:root:episode:35  step:5 Cost:98.29807119302139 min Cost:56.82237506295318 Reward:0 global reward:400 Action:[0, 3]
INFO:root:episode:35  step:6 Cost:98.29807119302139 min Cost:35.10798454185863 Reward:-631.9008665116276 global reward:400 Action:[0, 4]
INFO:root:episode:36  step:1 Cost:30.449731595473317 min Cost:25.04342577574281 Reward:0 global reward:400 Action:[2, 2]
INFO:root:episode:36  step:2 Cost:69.99044149307143 min Cost:37.51455383872964 Reward:0 global reward:400 Action:[0, 3]
INFO:root:episode:36  step:3 Cost:77.42055124314189 min Cost:50.01455383872964 Reward:0 global reward:400 Action:[1, 1]
INFO:root:episode:36  step:4 Cost:85.75388457647523 min Cost:51.61812010795834 Reward:0 global reward:400 Action:[1, 5]
INFO:root:episode:36  step:5 Cost:72.96724951116944 min Cost:56.82237506295318 Reward:0 global reward:400 Action:[3, 0]
INFO:root:episode:36  step:6 Cost:72.96724951116944 min Cost:35.10798454185863 Reward:-378.5926496931081 global reward:400 Action:[0, 4]
INFO:root:episode:37  step:1 Cost:30.449731595473317 min Cost:25.04342577574281 Reward:0 global reward:400 Action:[2, 2]
INFO:root:episode:37  step:2 Cost:69.99044149307143 min Cost:37.51455383872964 Reward:0 global reward:400 Action:[0, 3]
INFO:root:episode:37  step:3 Cost:82.49044149307143 min Cost:50.01455383872964 Reward:0 global reward:400 Action:[2, 0]
INFO:root:episode:37  step:4 Cost:77.42055124314189 min Cost:51.61812010795834 Reward:0 global reward:400 Action:[1, 1]
INFO:root:episode:37  step:5 Cost:85.75388457647523 min Cost:56.82237506295318 Reward:0 global reward:400 Action:[1, 5]
INFO:root:episode:37  step:6 Cost:62.78029956970808 min Cost:35.10798454185863 Reward:-276.7231502784945 global reward:400 Action:[0, 4]
